risk_percent,ema_fast,ema_slow,sl_atr_mult,tp_atr_mult,score,total_pnl,win_rate,profit_factor,trades
1.5,50,100,2.0,3.0,0.12001997913528238,-16634.545493187718,36.31160943704742,0.3305278421860044,8562
1.0,50,100,2.0,3.0,0.11828777566424377,-16282.067211139673,36.31160943704742,0.32575745745810714,8562
0.5,50,200,2.0,3.0,0.11558273293291828,-14531.35860710959,36.54895666131621,0.31624085470886293,6230
1.0,50,200,2.0,3.0,0.11546058306524022,-15818.934917727935,36.54895666131621,0.31590664580432437,6230
0.5,50,100,2.0,3.0,0.11540606774927333,-15237.184891911147,36.31160943704742,0.31782140626223165,8562
1.5,50,200,2.0,3.0,0.11483771894616827,-16246.504762870423,36.54895666131621,0.3142024545606624,6230
0.5,20,200,2.0,3.0,0.11215220400707336,-15578.261537133618,36.10543522680834,0.3106241575611867,9788
1.0,20,200,2.0,3.0,0.10800306641077265,-16533.565093501038,36.10543522680834,0.2991324318134246,9788
1.5,20,200,2.0,3.0,0.10538670178673765,-16824.157831877445,36.10543522680834,0.29188597540707073,9788
1.5,20,100,2.0,3.0,0.10482355128882999,-17426.484329658248,35.700139367710705,0.2936222467065172,13633
0.5,20,100,2.0,3.0,0.10381366091309335,-16393.079697855224,35.700139367710705,0.2907934331679066,13633
1.0,20,100,2.0,3.0,0.10336516960013772,-17159.443972935613,35.700139367710705,0.28953715988466766,13633
1.5,50,100,1.5,3.0,0.09019558854501669,-16773.92115976823,30.42513431441252,0.2964509132907612,8562
1.0,50,100,1.5,3.0,0.08854864937895376,-16525.226511380522,30.42513431441252,0.291037825713091,8562
0.5,50,100,1.5,3.0,0.08656615577449116,-15711.71059889122,30.42513431441252,0.2845218524918208,8562
0.5,50,200,1.5,3.0,0.08374538174552722,-15216.988082725475,30.353130016051367,0.27590361093317534,6230
0.5,20,200,1.5,3.0,0.0824289172788013,-16023.002682479488,30.455659991826728,0.2706522114474697,9788
1.0,50,200,1.5,3.0,0.08161788420326171,-16143.254940462417,30.353130016051367,0.26889445721116895,6230
1.5,50,200,1.5,3.0,0.08082694136819735,-16432.99824889985,30.353130016051367,0.26628865400521917,6230
1.0,20,200,1.5,3.0,0.0803067895990256,-16718.796436535165,30.455659991826728,0.26368428600981636,9788
1.5,20,200,1.5,3.0,0.08014463531546419,-16948.36278734918,30.455659991826728,0.2631518585936811,9788
2.0,20,100,1.5,3.0,0.07994106213981277,-17601.89334973399,30.169441795642925,0.264973620265516,13633
1.5,20,100,1.5,3.0,0.07870349354157077,-17496.81809275278,30.169441795642925,0.26087156028500713,13633
1.0,20,100,1.5,3.0,0.07745455154462098,-17299.329440350084,30.169441795642925,0.25673180189832673,13633
0.5,20,100,1.5,3.0,0.07714837504009499,-16729.994024012667,30.169441795642925,0.2557169455194785,13633
