entry_time,exit_time,signal,entry,exit,pnl,reason,bars_held
2025-01-03 20:45:00,2025-01-05 22:00:00,BUY,1.03052,1.0302714285714285,-27.591428571447366,Stop Loss,5
2025-01-03 21:00:00,2025-01-05 22:00:00,BUY,1.03067,1.0302885714285714,-43.48285714285271,Stop Loss,4
2025-01-03 21:15:00,2025-01-05 22:00:00,BUY,1.03074,1.0303185714285714,-50.99285714285728,Stop Loss,3
2025-01-06 01:15:00,2025-01-06 05:45:00,BUY,1.03067,1.0311221428571429,54.70928571429101,Stop Loss,18
2025-01-06 02:00:00,2025-01-06 05:45:00,BUY,1.03163,1.0310707142857143,-63.75857142857687,Stop Loss,15
2025-01-06 02:15:00,2025-01-06 05:45:00,BUY,1.03129,1.0311,-22.80000000001614,Stop Loss,14
2025-01-06 03:00:00,2025-01-06 05:45:00,BUY,1.03158,1.0310985714285714,-57.77142857142258,Stop Loss,11
2025-01-06 07:30:00,2025-01-06 08:00:00,BUY,1.03225,1.0335107142857143,151.28571428572712,Take Profit,2
2025-01-06 07:45:00,2025-01-06 08:15:00,BUY,1.03267,1.034000357142857,154.32142857142583,Take Profit,2
2025-01-06 08:00:00,2025-01-06 08:45:00,BUY,1.03365,1.0333842857142856,-27.900000000002922,Stop Loss,3
2025-01-06 08:15:00,2025-01-06 09:00:00,BUY,1.03398,1.034317142857143,32.702857142874464,Stop Loss,3
2025-01-06 08:30:00,2025-01-06 08:45:00,BUY,1.0334699999999999,1.0351896428571428,156.4875000000019,Take Profit,1
2025-01-06 08:45:00,2025-01-06 09:30:00,BUY,1.03496,1.0350214285714285,4.975714285703203,Stop Loss,3
2025-01-06 09:15:00,2025-01-06 10:00:00,BUY,1.03581,1.0345064285714287,-83.42857142855564,Stop Loss,3
2025-01-06 11:00:00,2025-01-06 11:15:00,BUY,1.03777,1.041452142857143,158.33214285714757,Take Profit,1
2025-01-06 11:15:00,2025-01-06 12:15:00,BUY,1.04132,1.0404285714285715,-33.87428571428463,Stop Loss,4
2025-01-06 12:45:00,2025-01-06 13:30:00,BUY,1.04105,1.0416728571428573,21.800000000004037,Stop Loss,3
2025-01-06 13:00:00,2025-01-06 13:30:00,BUY,1.0423,1.04163,-22.779999999998246,Stop Loss,2
2025-01-06 13:15:00,2025-01-06 13:45:00,BUY,1.0435,1.040575,-96.5250000000022,Stop Loss,2
2025-01-06 14:45:00,2025-01-07 01:30:00,BUY,1.0392,1.0376721428571427,-45.83571428571575,Stop Loss,43
2025-01-06 15:00:00,2025-01-06 18:00:00,BUY,1.03852,1.0376821428571428,-25.13571428572003,Stop Loss,12
2025-01-06 16:00:00,2025-01-06 18:00:00,BUY,1.03894,1.037747857142857,-36.95642857142878,Stop Loss,8
2025-01-06 16:30:00,2025-01-06 18:00:00,BUY,1.03981,1.0376935714285713,-67.72571428571439,Stop Loss,6
2025-01-06 17:45:00,2025-01-07 00:15:00,BUY,1.03868,1.0377871428571428,-41.96428571429078,Stop Loss,26
2025-01-06 18:15:00,2025-01-07 00:15:00,BUY,1.03853,1.0379914285714287,-29.62142857142025,Stop Loss,24
2025-01-06 19:15:00,2025-01-06 23:15:00,BUY,1.03877,1.038257142857143,-36.92571428570268,Stop Loss,16
2025-01-06 19:45:00,2025-01-06 23:15:00,BUY,1.03877,1.0383507142857142,-33.54285714285866,Stop Loss,14
2025-01-06 20:00:00,2025-01-06 23:15:00,BUY,1.03912,1.0383535714285714,-62.84714285714621,Stop Loss,13
2025-01-06 20:15:00,2025-01-06 23:15:00,BUY,1.03889,1.0383785714285714,-43.47142857144104,Stop Loss,12
2025-01-06 20:30:00,2025-01-06 23:15:00,BUY,1.03878,1.0384607142857143,-30.33214285714569,Stop Loss,11
