min_confidence,risk_percent,atr_min_non_jpy,atr_max_non_jpy,atr_min_jpy,atr_max_jpy,score,total_pnl,win_rate,pf,trades
0.6,0.7,0.0007,0.004,0.05,0.4,0.5168506800075484,124.6001071215965,46.470588235294116,1.1122103240668764,170
0.6,0.5,0.0007,0.0035,0.05,0.35,0.5132952742268736,83.60782682453035,46.470588235294116,1.104559450867956,170
0.6,0.7,0.0007,0.0035,0.06,0.35,0.5071841690794788,98.37979582041206,45.13274336283185,1.123761002078061,113
0.6,0.3,0.0007,0.003,0.05,0.3,0.49315624706358374,36.10362587573608,45.88235294117647,1.0748277179590928,170
0.6,0.3,0.0007,0.0035,0.06,0.4,0.4908705261457076,29.821347372410074,45.13274336283185,1.0876150873424504,113
0.6,0.5,0.0007,0.003,0.06,0.3,0.48660266245976236,51.32019494170518,44.642857142857146,1.0899899639098676,112
0.6,0.3,0.0007,0.004,0.06,0.3,0.4783843309049023,24.363828028574343,44.642857142857146,1.071580901226981,112
0.6,0.5,0.0009,0.0035,0.05,0.4,0.47271588295790634,31.497112538809112,45.0,1.0504797399064585,140
0.6,0.3,0.0009,0.003,0.05,0.35,0.4707350759189818,17.181942501379083,45.0,1.046077946486626,140
0.6,0.7,0.0009,0.003,0.05,0.3,0.45201616415141055,18.05391143051968,44.285714285714285,1.0206816609870561,140
0.6,0.5,0.0009,0.004,0.05,0.3,0.45137089745142206,12.114980287920666,44.285714285714285,1.0192246071483724,140
0.6,0.7,0.0009,0.0035,0.06,0.4,0.4340950518649665,16.239438677545216,42.168674698795186,1.029425408708349,83
0.6,0.5,0.0009,0.003,0.06,0.35,0.43247970970360605,10.14528631362956,42.168674698795186,1.0255947401542655,83
0.6,0.3,0.0009,0.004,0.06,0.35,0.422544116880835,0.4761688009773719,42.168674698795186,1.0020331914602656,83
0.6,0.7,0.0009,0.004,0.06,0.3,0.4106361651193003,-5.310981071260237,41.46341463414634,0.9903578099936066,82
0.65,0.7,0.0007,0.003,0.05,0.35,0.40731007620527726,-17.227705325292973,42.3728813559322,0.9612517798444544,59
0.65,0.5,0.0007,0.004,0.05,0.35,0.4029347637066439,-15.488007132501908,42.3728813559322,0.9509260423476796,59
0.65,0.3,0.0007,0.003,0.05,0.4,0.39803387940723,-11.393436872908397,42.3728813559322,0.9393599554010629,59
0.65,0.3,0.0007,0.0035,0.05,0.3,0.37668125722518203,-16.850956216744144,41.37931034482759,0.91031303829419,58
0.6,0.3,0.0005,0.004,0.05,0.4,0.3709391374581788,-139.2891289271786,43.333333333333336,0.8560133941342588,270
0.6,0.5,0.0005,0.003,0.05,0.4,0.37048235653358486,-233.4691374611685,43.333333333333336,0.8549592843082727,270
0.6,0.7,0.0005,0.004,0.05,0.35,0.36737795643962284,-340.5822143069539,43.333333333333336,0.8477952840914373,270
0.6,0.5,0.0005,0.0035,0.05,0.3,0.36240267465234366,-252.85126971205693,42.96296296296296,0.8435234668632137,270
0.65,0.5,0.0009,0.004,0.05,0.4,0.36097799970505384,-25.952292846789177,40.42553191489361,0.892945578217765,47
0.65,0.3,0.0009,0.0035,0.05,0.35,0.3470928076052346,-20.26986544433789,40.42553191489361,0.8585979977603173,47
0.6,0.5,0.0005,0.004,0.06,0.4,0.3408025250745279,-254.820963686348,41.78403755868544,0.8156285150660051,213
0.6,0.3,0.0005,0.0035,0.06,0.35,0.33918444038159884,-155.9949026275803,41.78403755868544,0.8117560202391075,213
0.6,0.7,0.0005,0.003,0.06,0.4,0.33810463232838256,-366.8025256081384,41.78403755868544,0.8091717605162415,213
0.6,0.7,0.0005,0.0035,0.06,0.3,0.3311816850973753,-388.35294535694385,41.509433962264154,0.7978467868254949,212
0.65,0.7,0.0007,0.0035,0.04,0.4,0.3247370370504457,-275.7300710196165,41.11675126903553,0.7897925469004667,197
0.65,0.5,0.0007,0.003,0.04,0.35,0.32460764015876353,-200.59547705378725,41.11675126903553,0.7894778408799558,197
0.65,0.5,0.0007,0.003,0.06,0.4,0.32264934087507685,-43.7126109390595,38.0,0.8490772128291496,50
0.65,0.3,0.0007,0.004,0.04,0.35,0.3225590762883151,-125.28716805716363,41.11675126903553,0.7844955312197293,197
0.65,0.7,0.0007,0.004,0.04,0.3,0.3171550564693433,-291.25940095365263,40.816326530612244,0.777029888349891,196
0.65,0.3,0.0007,0.004,0.06,0.4,0.31520680328793227,-29.63521831886012,38.0,0.8294915875998218,50
0.65,0.5,0.0009,0.003,0.04,0.4,0.30813550804562334,-211.05976276807453,40.54054054054054,0.7600675865125376,185
0.65,0.3,0.0009,0.004,0.04,0.4,0.30408716606084024,-134.1635966285931,40.54054054054054,0.7500816762834059,185
0.65,0.5,0.0009,0.0035,0.04,0.3,0.3009440206116871,-220.6726430770936,40.21739130434783,0.7482932404398707,184
0.65,0.5,0.0007,0.0035,0.06,0.3,0.29806229159391234,-54.62764962673098,36.734693877551024,0.8113917937834281,49
0.65,0.7,0.0005,0.0035,0.04,0.35,0.266302203671199,-583.5863210195971,39.075630252100844,0.681504564233821,238
0.65,0.3,0.0005,0.0035,0.04,0.4,0.2661670935838029,-258.67698948572627,39.075630252100844,0.6811587986338181,238
0.65,0.5,0.0005,0.003,0.04,0.3,0.2619658315899139,-432.2788930770778,38.81856540084388,0.6748467618131477,237
0.65,0.3,0.0005,0.004,0.04,0.3,0.26165927544375844,-264.25990451645913,38.81856540084388,0.6740570465235951,237
0.6,0.7,0.0007,0.003,0.04,0.4,0.26052526948994986,-964.5381279277267,37.58169934640523,0.6932237605558665,612
0.6,0.5,0.0007,0.004,0.04,0.4,0.2592694615255675,-767.4605548616698,37.58169934640523,0.689882219363684,612
0.65,0.5,0.0009,0.0035,0.06,0.35,0.2564778250544942,-54.17689665334676,34.21052631578947,0.7497044116977521,38
0.6,0.7,0.0007,0.0035,0.04,0.3,0.2547211415540108,-988.395282161727,37.235772357723576,0.6840764281909025,615
0.6,0.3,0.0007,0.0035,0.04,0.35,0.2541125147657676,-533.3569994431706,37.58169934640523,0.676160256681086,612
0.6,0.5,0.0005,0.004,0.04,0.35,0.25212754436758095,-1084.5375191473686,37.640449438202246,0.6698313865287971,712
0.55,0.5,0.0007,0.004,0.06,0.35,0.25072447473034354,-895.1462705561819,36.434108527131784,0.688158664685411,516
0.6,0.7,0.0005,0.003,0.04,0.35,0.250413211226932,-1429.7204493562772,37.640449438202246,0.6652768895282671,712
0.55,0.3,0.0007,0.003,0.06,0.4,0.25025340260724743,-556.4118860126271,36.434108527131784,0.6868657220496792,516
0.6,0.3,0.0005,0.003,0.04,0.4,0.24963043189535675,-719.173249443161,37.640449438202246,0.6631972668264702,712
0.55,0.3,0.0007,0.004,0.05,0.35,0.24815237375188853,-804.4497278990048,36.60933660933661,0.677839034342407,814
0.55,0.7,0.0007,0.003,0.06,0.35,0.24811201113169923,-1247.3291030372686,36.434108527131784,0.6809882858721107,516
0.55,0.5,0.0007,0.003,0.05,0.35,0.24741535208269083,-1271.679152729952,36.60933660933661,0.6758258275010415,814
0.6,0.3,0.0005,0.0035,0.04,0.3,0.24496822875305582,-736.8309270561772,37.34265734265734,0.6560010620166102,715
0.55,0.7,0.0007,0.0035,0.05,0.4,0.2442303593158718,-1725.5415711370576,36.60933660933661,0.6671258808158378,814
0.55,0.3,0.0007,0.0035,0.06,0.3,0.24365274881540913,-586.7052667185224,36.05313092979127,0.6758157822406348,527
0.65,0.5,0.0005,0.0035,0.05,0.4,0.24356241781001214,-237.55854284677335,37.0,0.6582768048919247,100
0.55,0.7,0.0007,0.004,0.05,0.3,0.24207210587093247,-1750.9786474631323,36.418269230769226,0.6646996438436166,832
0.65,0.3,0.0005,0.003,0.05,0.35,0.24178826780392695,-144.78325830147108,37.0,0.6534818048754782,100
0.55,0.5,0.0007,0.0035,0.04,0.4,0.23539999084213264,-2031.6453011312924,36.43031784841076,0.6461650755331023,1636
0.6,0.7,0.0009,0.0035,0.04,0.35,0.23503611466130203,-1046.6784850705935,36.769759450171826,0.6392103679106438,582
0.55,0.3,0.0007,0.003,0.04,0.35,0.23502350235432498,-1435.7871465142014,36.43031784841076,0.6451316272679122,1636
0.55,0.3,0.0009,0.004,0.05,0.4,0.2348210342768605,-671.9820493275986,35.912408759124084,0.6538715791855669,685
0.55,0.7,0.0007,0.003,0.04,0.3,0.23444866840337283,-2482.209913287706,36.292270531400966,0.6460016553676962,1656
0.65,0.7,0.0005,0.003,0.05,0.3,0.2344095072356654,-343.015452968109,36.36363636363637,0.6446261448980798,99
0.55,0.5,0.0009,0.003,0.05,0.4,0.2338756096855682,-1056.9087955871319,35.912408759124084,0.6512389944496514,685
0.65,0.5,0.0005,0.004,0.05,0.3,0.23366390576342846,-248.47358153444483,36.36363636363637,0.6425757408494283,99
0.55,0.5,0.0007,0.004,0.04,0.3,0.23345887415394473,-2054.384741428521,36.292270531400966,0.6432743687170257,1656
0.6,0.3,0.0009,0.0035,0.04,0.4,0.23341466656323911,-562.7021780146033,36.769759450171826,0.6348006352327343,582
0.55,0.5,0.0009,0.004,0.06,0.4,0.23055196151230142,-680.3759134133616,35.14211886304909,0.6560559493033872,387
0.6,0.5,0.0009,0.003,0.04,0.3,0.23033598298171118,-846.0386944055559,36.41025641025641,0.6326129110061082,585
0.55,0.5,0.0009,0.0035,0.05,0.3,0.22995078563842192,-1095.7113493164707,35.70412517780939,0.6440454275052215,703
0.55,0.7,0.0009,0.004,0.05,0.35,0.22984999530350134,-1428.117821137108,35.912408759124084,0.6400294584670668,685
0.55,0.3,0.0009,0.0035,0.06,0.35,0.22943325202840956,-423.9442074412208,35.14211886304909,0.6528725627573125,387
0.6,0.3,0.0009,0.004,0.04,0.3,0.22755031488249247,-580.3598556276195,36.41025641025641,0.624962132423747,585
0.55,0.7,0.0009,0.003,0.06,0.4,0.22748840067755716,-949.9053530373194,35.14211886304909,0.647338316633931,387
0.55,0.3,0.0009,0.003,0.04,0.4,0.2261891048980708,-1303.3194679427954,36.098208360982085,0.6265937152231482,1507
0.55,0.7,0.0009,0.003,0.04,0.35,0.22579698845935506,-2172.691344973143,36.098208360982085,0.6255074661916324,1507
0.55,0.5,0.0009,0.004,0.04,0.35,0.22573743482641742,-1816.874943988472,36.098208360982085,0.6253424894915643,1507
0.55,0.3,0.0009,0.0035,0.04,0.3,0.223309135676015,-1330.4420814041896,35.952848722986246,0.6211166669895718,1527
0.55,0.7,0.0009,0.0035,0.06,0.3,0.22082497742150375,-996.6840386525912,34.67336683417086,0.6368720363315833,398
0.65,0.3,0.0009,0.003,0.06,0.3,0.2140086739354344,-43.96916623412535,32.432432432432435,0.6598600779675894,37
0.65,0.7,0.0005,0.0035,0.06,0.4,0.20678523061369578,-364.2014400597782,34.065934065934066,0.6070147092208489,91
0.65,0.5,0.0005,0.003,0.06,0.35,0.20536291471577497,-265.78314665333096,34.065934065934066,0.6028395238430814,91
0.55,0.5,0.0005,0.0035,0.04,0.35,0.20359638343673922,-4263.682801131163,35.45694200351494,0.5742073961611133,2276
0.55,0.3,0.0005,0.003,0.04,0.3,0.20348229236847024,-2949.211724261222,35.36585365853659,0.5753637232487778,2296
0.65,0.3,0.0005,0.004,0.06,0.35,0.20310601798318617,-163.0250397474228,34.065934065934066,0.5962144398861271,91
0.55,0.7,0.0005,0.004,0.04,0.4,0.2025917707062768,-5313.806702115786,35.45694200351494,0.5713740645941585,2276
0.55,0.3,0.0005,0.0035,0.05,0.4,0.20087999651698507,-2290.751692184631,35.00687757909216,0.573830088282311,1454
0.55,0.3,0.0005,0.004,0.05,0.3,0.19977765052306617,-2316.2716488310884,34.91847826086957,0.5721258785407654,1472
0.55,0.5,0.0005,0.003,0.05,0.3,0.19910652055186806,-3542.519206459161,34.91847826086957,0.5702038876504859,1472
0.55,0.7,0.0005,0.0035,0.05,0.35,0.19863863818770855,-4569.233178279752,35.00687757909216,0.5674274654713718,1454
0.65,0.7,0.0005,0.004,0.06,0.3,0.19659906185351694,-379.86847377685837,33.33333333333333,0.5897971855605509,90
0.55,0.5,0.0005,0.0035,0.06,0.4,0.194031716014003,-3127.183770556052,34.515570934256054,0.5621570519102442,1156
0.55,0.3,0.0005,0.003,0.06,0.35,0.19369645649970207,-2042.7138502982534,34.515570934256054,0.5611857235931218,1156
0.55,0.5,0.0005,0.004,0.06,0.3,0.1921320531455637,-3168.1455086581327,34.36161096829478,0.55914739656078,1167
0.55,0.7,0.0005,0.003,0.06,0.3,0.19139294156018877,-4137.799395795235,34.36161096829478,0.5569964159619458,1167
